date,population_daily_est
2021-09-16,215011
2021-09-17,215013
2021-09-18,215014
2021-09-19,215015
2021-09-20,215016
2021-09-21,215017
2021-09-22,215018
2021-09-23,215019
2021-09-24,215021
2021-09-25,215022
2021-09-26,215023
2021-09-27,215024
2021-09-28,215025
2021-09-29,215026
2021-09-30,215027
2021-10-01,215029
2021-10-02,215030
2021-10-03,215031
2021-10-04,215032
2021-10-05,215033
2021-10-06,215034
2021-10-07,215036
2021-10-08,215037
2021-10-09,215038
2021-10-10,215039
2021-10-11,215040
2021-10-12,215041
2021-10-13,215042
2021-10-14,215044
2021-10-15,215045
2021-10-16,215046
2021-10-17,215047
2021-10-18,215048
2021-10-19,215049
2021-10-20,215050
2021-10-21,215052
2021-10-22,215053
2021-10-23,215054
2021-10-24,215055
2021-10-25,215056
2021-10-26,215057
2021-10-27,215058
2021-10-28,215060
2021-10-29,215061
2021-10-30,215062
2021-10-31,215063
2021-11-01,215064
2021-11-02,215065
2021-11-03,215066
2021-11-04,215068
2021-11-05,215069
2021-11-06,215070
2021-11-07,215071
2021-11-08,215072
2021-11-09,215073
2021-11-10,215074
2021-11-11,215076
2021-11-12,215077
2021-11-13,215078
2021-11-14,215079
2021-11-15,215080
2021-11-16,215081
2021-11-17,215082
2021-11-18,215084
2021-11-19,215085
2021-11-20,215086
2021-11-21,215087
2021-11-22,215088
2021-11-23,215089
2021-11-24,215090
2021-11-25,215092
2021-11-26,215093
2021-11-27,215094
2021-11-28,215095
2021-11-29,215096
2021-11-30,215097
2021-12-01,215098
2021-12-02,215100
2021-12-03,215101
2021-12-04,215102
2021-12-05,215103
2021-12-06,215104
2021-12-07,215105
2021-12-08,215107
2021-12-09,215108
2021-12-10,215109
2021-12-11,215110
2021-12-12,215111
2021-12-13,215112
2021-12-14,215113
2021-12-15,215115
2021-12-16,215116
2021-12-17,215117
2021-12-18,215118
2021-12-19,215119
2021-12-20,215120
2021-12-21,215121
2021-12-22,215123
2021-12-23,215124
2021-12-24,215125
2021-12-25,215126
2021-12-26,215127
2021-12-27,215128
2021-12-28,215129
2021-12-29,215131
2021-12-30,215132
2021-12-31,215133
2022-01-01,215134
2022-01-02,215135
2022-01-03,215136
2022-01-04,215137
2022-01-05,215139
2022-01-06,215140
2022-01-07,215141
2022-01-08,215142
2022-01-09,215143
2022-01-10,215144
2022-01-11,215145
2022-01-12,215147
2022-01-13,215148
2022-01-14,215149
2022-01-15,215150
2022-01-16,215151
2022-01-17,215152
2022-01-18,215153
2022-01-19,215155
2022-01-20,215156
2022-01-21,215157
2022-01-22,215158
2022-01-23,215159
2022-01-24,215160
2022-01-25,215161
2022-01-26,215163
2022-01-27,215164
2022-01-28,215165
2022-01-29,215166
2022-01-30,215167
2022-01-31,215168
2022-02-01,215170
2022-02-02,215171
2022-02-03,215172
2022-02-04,215173
2022-02-05,215174
2022-02-06,215175
2022-02-07,215176
2022-02-08,215178
2022-02-09,215179
2022-02-10,215180
2022-02-11,215181
2022-02-12,215182
2022-02-13,215183
2022-02-14,215184
2022-02-15,215186
2022-02-16,215187
2022-02-17,215188
2022-02-18,215189
2022-02-19,215190
2022-02-20,215191
2022-02-21,215192
2022-02-22,215194
2022-02-23,215195
2022-02-24,215196
2022-02-25,215197
2022-02-26,215198
2022-02-27,215199
2022-02-28,215200
2022-03-01,215202
2022-03-02,215203
2022-03-03,215204
2022-03-04,215205
2022-03-05,215206
2022-03-06,215207
2022-03-07,215208
2022-03-08,215210
2022-03-09,215211
2022-03-10,215212
2022-03-11,215213
2022-03-12,215214
2022-03-13,215215
2022-03-14,215216
2022-03-15,215218
2022-03-16,215219
2022-03-17,215220
2022-03-18,215221
2022-03-19,215222
2022-03-20,215223
2022-03-21,215224
2022-03-22,215226
2022-03-23,215227
2022-03-24,215228
2022-03-25,215229
2022-03-26,215230
2022-03-27,215231
2022-03-28,215232
2022-03-29,215234
2022-03-30,215235
2022-03-31,215236
2022-04-01,215237
2022-04-02,215238
2022-04-03,215239
2022-04-04,215241
2022-04-05,215242
2022-04-06,215243
2022-04-07,215244
2022-04-08,215245
2022-04-09,215246
2022-04-10,215247
2022-04-11,215249
2022-04-12,215250
2022-04-13,215251
2022-04-14,215252
2022-04-15,215253
2022-04-16,215254
2022-04-17,215255
2022-04-18,215257
2022-04-19,215258
2022-04-20,215259
2022-04-21,215260
2022-04-22,215261
2022-04-23,215262
2022-04-24,215263
2022-04-25,215265
2022-04-26,215266
2022-04-27,215267
2022-04-28,215268
2022-04-29,215269
2022-04-30,215270
2022-05-01,215271
2022-05-02,215273
2022-05-03,215274
2022-05-04,215275
2022-05-05,215276
2022-05-06,215277
2022-05-07,215278
2022-05-08,215279
2022-05-09,215281
2022-05-10,215282
2022-05-11,215283
2022-05-12,215284
2022-05-13,215285
2022-05-14,215286
2022-05-15,215287
2022-05-16,215289
2022-05-17,215290
2022-05-18,215291
2022-05-19,215292
2022-05-20,215293
2022-05-21,215294
2022-05-22,215295
2022-05-23,215297
2022-05-24,215298
2022-05-25,215299
2022-05-26,215300
2022-05-27,215301
2022-05-28,215302
2022-05-29,215303
2022-05-30,215305
2022-05-31,215306
2022-06-01,215307
2022-06-02,215308
2022-06-03,215309
2022-06-04,215310
2022-06-05,215312
2022-06-06,215313
2022-06-07,215314
2022-06-08,215315
2022-06-09,215316
2022-06-10,215317
2022-06-11,215318
2022-06-12,215320
2022-06-13,215321
2022-06-14,215322
2022-06-15,215323
2022-06-16,215324
2022-06-17,215325
2022-06-18,215326
2022-06-19,215328
2022-06-20,215329
2022-06-21,215330
2022-06-22,215331
2022-06-23,215332
2022-06-24,215333
2022-06-25,215334
2022-06-26,215336
2022-06-27,215337
2022-06-28,215338
2022-06-29,215339
2022-06-30,215340
2022-07-01,215341
2022-07-02,215342
2022-07-03,215344
2022-07-04,215345
2022-07-05,215346
2022-07-06,215347
2022-07-07,215348
2022-07-08,215349
2022-07-09,215350
2022-07-10,215352
